ID,Set,Hint,Word,Meaning,Sentence,Translation
57,set4,idiom,watch out,조심하다,Watch out! The bus is coming.,조심해! 버스가 온다!
58,set4,single word,way,방법,Is there another way to solve the problem?,그 문제를 해결할 다른 방법이 있나요?
59,set5,single word,almost,거의,I have almost finished my homework.,나는 내 숙제를 거의 끝마쳤다.
60,set5,single word,bath,목욕,He is taking a bath.,그는 목욕을 하고 있다.
61,set5,single word,bathtub,욕조,The bathtub was full of bubbles.,그 욕조는 거품으로 가득 찼다.
62,set5,single word,blind,눈이 먼,The dog helps the blind man.,그 개는 맹인 남자를 돕는다.
63,set5,single word,company,회사,She worked for 3 years at the company.,그녀는 그 회사에서 3년 동안 근무했다.
64,set5,single word,cross,건너다,Be careful when you cross the street.,길을 건널 때는 조심해라.
65,set5,single word,crowded,"붐비는, 복잡한",The bus is so crowded.,그 버스는 매우 붐빈다.
66,set5,single word,cushion,"쿠션, 방석",There are two cushions on the sofa.,소파 위에는 두 개의 쿠션이 있다.
67,set5,single word,dirty,더러운,His pants were so dirty after playing baseball in the rain.,그의 바지는 빗속에서 야구를 한 후에 아주 더러웠다.
68,set5,single word,flat,평평한,"In the past, people believed the Earth was flat.",과거에 사람들은 지구가 평평하다고 믿었다.
69,set5,single word,fountain,"음수대, 분수",She and I will meet at the fountain tomorrow.,그녀와 나는 내일 분수에서 만날 것이다.
70,set5,single word,handle,손잡이,Turn the door handle if you want to open the door.,문을 열고 싶다면 문손잡이를 돌리세요.
71,set5,single word,however,"그러나, 하지만","It has gotten warm these days. However, it is still cold in the morning.",요즈음 날이 따뜻해졌다. 그러나 아침에는 여전히 춥다.
72,set5,single word,journey,"여행, 여정",He is away on a journey.,그는 여행으로 부재중이다.
73,set5,two words,jump rope,줄넘기를 하다,I'm going to jump rope every day.,나는 매일 줄넘기를 할 예정이다.
74,set6,single word,locker,사물함,I put my books in the school locker.,나는 학교 사물함에 내 책들을 둔다.
75,set6,single word,low,낮은,This room has a low ceiling.,이 방은 천장이 낮다.
76,set6,single word,pad,"패드, 깔개",We should put more pads on this chair.,우리는 이 의자에 더 많은 패드를 깔아야 한다.
77,set6,single word,product,"제품, 상품",This product is very popular now.,이 제품은 지금 매우 인기가 많습니다.
78,set6,single word,reach,~에 닿다,She could not reach the window.,그녀는 창문에 다다를 수 없었다.
79,set6,single word,station,"역, 정류장",A subway car is arriving at the station.,지하철이 역에 도착하고 있다.
80,set6,single word,swing,그네,The boy is playing on the swing.,그 소년은 그네를 타는 중이다.
81,set6,single word,switch,스위치,Turn on the switch.,스위치를 켜라.
82,set6,single word,tight,"꽉 조이는, 딱 붙는",This jacket is too tight for me.,이 재킷은 내겐 너무 꽉 조인다.
83,set6,single word,traffic,교통,There is a lot of traffic on weekends.,주말에는 극심한 교통 체증이 있다.
84,set6,single word,uncomfortable,불편한,The chair is so hard and uncomfortable.,의자가 너무 딱딱하고 불편하다.
85,set6,single word,universal,보편적인,Laughter is a universal language.,웃음은 보편적인 언어다.
86,set6,single word,view,"견해, 관점",I don't agree with his view.,나는 그의 견해에 동의하지 않는다.
87,set6,single word,wiper,"닦개, 와이퍼",This wiper is for cleaning the mirror.,이 와이퍼는 거울을 닦기 위한 것이다.
,,,,,,
,,,,,,
